identifier,L_min,L_max,P_min,P_max,S_min,S_max
Breast_MRI_001,59.967353666893096,85.54031455824861,11.909806118476636,41.6419480250212,-25.24287926236814,1.0118417285996344
Breast_MRI_002,75.04159999999999,91.4468,3.7934000000000196,28.987099999999998,3.5770503546099235,20.477059574468072
Breast_MRI_003,79.63759999999999,118.60279999999999,-53.32619999999997,-11.626599999999996,-17.512200000000007,-5.512200000000007
Breast_MRI_004,44.715599999999995,52.44970000000001,-2.5859999999999843,10.069800000000015,1.1831999999999994,10.1832
Breast_MRI_005,-65.25045395474544,-34.00045395073952,-3.911924348402721,15.619325645187814,-60.838983058929,-14.838983058929003
Breast_MRI_006,-118.37739999999997,-100.60379999999998,-33.1036,-5.759600000000006,-61.8169469387755,-52.81693469387754
Breast_MRI_007,30.927931783019307,44.99043178494215,33.872940055945776,43.247940053061484,-6.0887409130553465,6.011259248335378
Breast_MRI_008,-93.97700072019573,-70.4502142099726,-14.02239773789293,5.709745778590587,56.26864471435833,69.4686447143587
Breast_MRI_009,-89.95479999999998,-60.734399999999994,-7.688000000000017,28.837500000000006,-20.454542580645153,7.0454412903226
Breast_MRI_010,104.78880000000001,142.6425,-0.6399000000000115,43.85479999999998,-54.572900000000004,-27.572900000000004
Breast_MRI_011,-118.67679999999999,-70.1412,-8.872199999999992,26.67500000000001,-8.109729508196736,25.890363387978127
Breast_MRI_012,-127.85319999999999,-27.656199999999984,-94.73699999999997,17.335200000000015,8.203838983050844,68.20392372881354
Breast_MRI_013,46.306200000000004,87.7891,-31.74679999999998,16.06400000000002,-6.3095,40.6905
Breast_MRI_014,-104.36289013469964,-95.52360469942948,-23.506353655058035,-13.863496820552086,26.531476996839004,34.531476996839004
Breast_MRI_015,-97.46954692745184,-71.75526202367905,-28.252735770183904,5.497263151658359,40.14024141856568,55.540241718291895
Breast_MRI_016,64.57600000000001,119.69630000000001,-66.2279,-0.4819999999999993,-13.438999999999993,40.56100000000001
Breast_MRI_017,59.11319384173832,71.16676489026852,-82.53480262916156,-67.26694597412877,21.800242125988646,33.80024212598878
Breast_MRI_018,-95.68704725891325,-71.57990408438177,-47.95323876603578,4.9485476159867545,-67.21670702099958,-47.21670702099938
Breast_MRI_019,29.35996722128731,77.17246722717121,-23.001516349794855,5.685983640398632,-6.442922401428007,30.957077598571985
Breast_MRI_020,-129.01280000000003,-104.4411,-56.44810000000001,-35.1969,-22.707145664739883,-9.707168208092483
Breast_MRI_021,104.41919999999999,131.1384,-64.72379999999998,-38.74679999999998,-42.34310000000001,-25.343100000000007
Breast_MRI_022,66.79933331115093,103.62969003385042,-84.1090325852116,-56.85456862210461,-32.379782867431004,3.920217132568581
Breast_MRI_023,105.44819209945123,131.34104900288298,-68.19007100799385,-31.582928505274765,-36.870460033418766,-14.870460033418425
Breast_MRI_024,48.8802,55.130600000000015,-55.47239999999999,-50.00329999999997,23.16030837988825,29.16029162011172
Breast_MRI_025,109.57560000000001,126.1781,37.68079999999998,56.93969999999999,66.54194322580648,86.94196516129034
Breast_MRI_026,-116.52925975268379,-86.06050974563337,-31.368383383877983,3.0066166098727933,-44.80532990969195,-13.6053291467531
Breast_MRI_027,-98.09700483592178,-79.34700459379475,17.596096834688893,35.67645420360408,-2.468523003160996,14.531476996839004
Breast_MRI_028,31.064531545003906,92.78328155910474,-42.785472875481304,25.964527111859994,-48.01030111312969,19.989698886870656
Breast_MRI_029,-99.46560000000002,-85.10999999999999,-41.45239999999998,-29.147599999999983,-32.23791151832461,-25.637914659685865
Breast_MRI_030,79.05930000000001,105.79920000000001,-6.480400000000003,21.70490000000001,-25.62183492063494,-13.62181587301589
Breast_MRI_031,-112.87409999999997,-87.56249999999997,-80.50479999999996,-57.30249999999998,-14.989934161490694,7.810054037267079
