identifier,L_min,L_max,P_min,P_max,S_min,S_max
Breast_MRI_001,-178.9670662347954,154.42729053794133,-103.8044758679063,96.1955241320937,-45.97026009840529,54.02973990159471
Breast_MRI_002,-133.5388,132.45979999999997,-96.3955,103.6045,-47.072950000000006,52.927049999999994
Breast_MRI_003,-162.3568,167.13840000000002,-94.34219999999998,126.46060000000004,-38.01220000000001,61.98779999999999
Breast_MRI_004,-153.55859999999998,157.2116,-72.89599999999996,127.10400000000004,-37.3168,62.6832
Breast_MRI_005,-133.2192039640392,143.34329605679162,-49.2244243344621,150.7755756655379,-70.338983058929,29.661016941070997
Breast_MRI_006,-160.07699999999997,148.91020000000003,-97.36199999999998,102.63800000000002,-77.31689999999999,22.68310000000001
Breast_MRI_007,-171.41581822931894,155.14668179631897,-26.283309902552844,173.71669009744716,-50.03874083235999,49.96125916764001
Breast_MRI_008,-166.0752174558638,147.36229313758747,-127.10275867214492,84.63831981915214,-24.531355285642547,75.46864471435745
Breast_MRI_009,-131.129,142.48020000000002,-30.9315,169.0685,-56.70455064516129,43.29544935483871
Breast_MRI_010,-148.89739999999998,162.56550000000004,-59.08069999999999,140.91930000000002,-74.5729,52.927099999999996
Breast_MRI_011,-154.224,144.5092,-48.52099999999997,151.47900000000004,-65.60975000000002,34.39024999999998
Breast_MRI_012,-155.31459999999996,166.80020000000005,-115.51859999999996,84.48140000000004,-32.19614745762712,88.20392372881354
Breast_MRI_013,-112.59439999999998,102.5542,-46.51189999999998,153.48810000000003,-41.8095,58.1905
Breast_MRI_014,-172.66645940481453,155.9942444851383,-86.18492307712201,167.74364021186787,-50.968523003160996,49.031476996839004
Breast_MRI_015,-156.13025935959962,190.20901539446572,-82.89559116395984,158.9794010760054,-38.559759140015004,61.440240859984996
Breast_MRI_016,-155.90519999999998,146.26030000000003,-114.0431,86.51510000000002,-40.93899999999999,59.06100000000001
Breast_MRI_017,-178.16358987197248,171.83641012802752,-101.82051625301418,140.05447598596214,2.3002421259889942,102.300242125989
Breast_MRI_018,-126.4906190860398,115.92009832260446,-81.43538204260835,118.56461795739165,-87.21670702099958,36.78329297900095
Breast_MRI_019,-172.51503278721165,145.172467241772,-64.4390163083896,135.5609836916104,-38.292922401428,61.707077598572
Breast_MRI_020,-169.5229,147.25280000000004,-96.95819999999998,103.04180000000002,-70.20715,29.79285
Breast_MRI_021,-177.0865,172.9135,-109.25579999999997,95.59140000000002,-50.84310000000001,49.15689999999999
Breast_MRI_022,-157.12923553431375,142.66986818087886,-110.62688937560192,89.37311062439808,-81.27978286743102,18.720217132568976
Breast_MRI_023,-173.56966403841182,176.43033596158818,-100.33292778552864,99.66707221447136,-69.3704600334185,30.629539966581504
Breast_MRI_024,-168.70065,181.29935,-113.2886,94.5372,-23.839700000000008,76.16029999999999
Breast_MRI_025,-134.14909999999998,154.73440000000002,-53.965,146.035,-23.65809999999999,106.94196516129034
Breast_MRI_026,-168.0917597667846,155.34574027375527,-100.11838337330236,99.88161662669764,-64.80532990969195,99.3946723937965
Breast_MRI_027,-116.17736222241726,122.21549797373844,-49.36818972738375,150.63181027261624,-49.468523003160996,50.531476996839004
Breast_MRI_028,-156.43546846220676,159.97078157689103,-77.94172283702449,122.05827716297551,-54.01030111312946,45.98969888687054
Breast_MRI_029,-160.30599999999998,167.82199999999995,-104.34359999999998,109.62320000000004,-52.23791151832461,98.61205
Breast_MRI_030,-170.27220000000003,162.1698,-38.27920000000003,161.72079999999997,-85.12185000000001,14.87814999999999
Breast_MRI_031,-172.63759999999996,161.33489999999998,-109.33189999999996,90.66810000000004,-31.98995124223603,68.01004875776397
Breast_MRI_032,-138.27550000000002,136.01600000000002,-70.91650000000001,129.0835,-26.585049999999995,73.41495
Breast_MRI_033,-176.28859999999997,162.8968,-99.72359999999996,100.27640000000004,-6.462049132947975,93.53795086705202
Breast_MRI_034,-166.35339999999997,168.3222,-111.21199999999996,88.78800000000004,-73.94110272108844,26.05889727891156
Breast_MRI_035,-147.971,110.154,-34.30699999999999,165.693,-57.780199999999994,42.219800000000006
Breast_MRI_036,-123.236,128.639,-46.53200000000001,153.468,-102.89393496503496,19.756150000000005
Breast_MRI_037,-158.9557109149348,160.85678912145823,-100.8459472318496,99.1540527681504,-49.07815283536901,50.92184716463099
Breast_MRI_038,-158.85939999999997,165.26970000000003,-108.41029999999998,91.58970000000002,-109.05992546583852,36.99025621118011
Breast_MRI_039,-160.7627172754933,149.63907893271053,-137.91541018825032,86.72745445221753,-11.546125030519022,88.45387496948098
Breast_MRI_040,-168.38889702992273,155.67361392100074,-103.43509915073255,107.54705074141188,-18.065208435059468,81.93479156494053
Breast_MRI_041,-155.2858,149.5998,-59.87079999999998,140.12920000000003,-66.58505,33.414950000000005
Breast_MRI_042,-177.35923512969336,128.48898948032576,-65.90543781091861,155.61241939937238,-28.69249343872052,71.30750656127948
Breast_MRI_043,-164.1092,131.206,-32.599599999999995,167.4004,-69.03614919786095,30.96385080213905
Breast_MRI_044,-122.48666743342702,146.74948605029454,-30.921611641307933,169.07838835869205,-53.11225377359857,46.88774622640143
Breast_MRI_045,-148.75719999999998,151.416,-98.1873,101.8127,-57.32899999999999,42.67100000000001
Breast_MRI_046,-168.20420833690832,175.82482005419047,-45.824190999158944,154.17580900084107,-103.78329277039,26.716707229609995
Breast_MRI_047,-180.3735,150.08350000000002,-66.59039999999995,133.40960000000007,-24.63395,75.36605
Breast_MRI_048,-111.27346023552028,157.3872631308955,-78.10533187392026,121.89466812607974,-35.472154974938505,64.5278450250615
Breast_MRI_049,-153.18349999999998,158.75449999999998,-50.92899999999997,149.07100000000003,-28.53615000000002,71.46384999999998
Breast_MRI_050,-150.65760000000003,158.658,-118.35320000000004,81.64679999999996,-40.16609790575916,59.83390209424084
Breast_MRI_051,-175.98799999999997,166.1662,-114.52379999999997,89.58120000000005,-15.853200000000001,84.1468
Breast_MRI_052,-157.0556645060343,165.48898924175847,-92.39090993696546,107.60909006303454,-27.043051958084753,72.95694804191524
Breast_MRI_053,-124.4167,130.5977,-43.51829999999998,156.48170000000002,-49.99979999999999,50.00020000000001
Breast_MRI_054,-164.85619999999997,151.65060000000005,-108.3724,91.6276,-102.15815254237287,-2.158152542372875
Breast_MRI_055,-147.796,119.6715,-66.5885,133.4115,-59.7559,40.2441
Breast_MRI_056,-172.154,164.8608,-87.31059999999997,154.0002,-100.30494871794872,44.69520512820513
Breast_MRI_057,-169.7185176744493,162.96004321497898,-99.95611252899648,100.04388747100352,-56.34806296229331,68.401937037708
Breast_MRI_058,-144.98700000000002,127.45649999999998,-45.48010000000001,154.5199,-54.5526,45.4474
Breast_MRI_059,-154.6912,156.1076,-111.1465,108.00650000000002,-76.3168988950276,23.683101104972394
Breast_MRI_060,-158.438,140.97879999999998,-84.321,115.679,-64.63395,35.36605
Breast_MRI_061,-145.99159999999998,144.22010000000003,-78.4969,121.5031,-31.652800000000013,68.34719999999999
Breast_MRI_062,-148.45579999999998,153.6954,-62.9904,137.0096,-54.87779999999999,45.12220000000001
Breast_MRI_063,-174.04509124080596,166.66918368169,-121.08958336081824,78.91041663918176,-86.9926169677194,47.90738507834462
