identifier,L_min,L_max,P_min,P_max,S_min,S_max
Breast_MRI_001,-178.9670662347954,154.42729053794133,-103.8044758679063,88.24908938572948,-87.94043085950877,95.99991066269821
Breast_MRI_002,-133.5388,132.45979999999997,-96.3955,79.37449999999998,-88.723,94.57709999999999
Breast_MRI_003,-162.3568,167.13840000000002,-94.34219999999998,126.46060000000003,-64.5122,88.4878
Breast_MRI_004,-153.55859999999998,157.2116,-72.89599999999996,70.53640000000001,-68.8168,94.1832
Breast_MRI_005,-133.2192039640392,143.34329605679162,-49.2244243344621,52.338075608813995,-99.838983058929,59.161016941071
Breast_MRI_006,-160.07699999999997,148.91020000000003,-97.36199999999998,62.60040000000001,-100.817,46.183200000000014
Breast_MRI_007,-171.41581822931894,155.14668179631897,-26.283309902552844,98.71669003046807,-113.8887423509,113.81126068618005
Breast_MRI_008,-166.0752174558638,147.36229313758747,-127.10275867214492,84.63831981915214,-60.331355285645,111.26864471435991
Breast_MRI_009,-131.129,142.48020000000002,-30.9315,64.69890000000001,-90.85450129032259,77.44540000000002
Breast_MRI_010,-148.89739999999998,162.56550000000004,-59.08069999999999,65.10600000000002,-69.5729,75.4271
Breast_MRI_011,-154.224,144.5092,-48.52099999999997,69.74180000000001,-107.11,75.89049999999996
Breast_MRI_012,-155.31459999999996,166.80020000000005,-115.51859999999996,70.77360000000004,-86.59629491525423,122.204
Breast_MRI_013,-112.59439999999998,102.55420000000001,-46.51189999999998,47.70350000000002,-78.3095,94.6905
Breast_MRI_014,-172.66645940481453,155.9942444851383,-86.18492307712201,167.74364021186787,-88.468523003161,86.531476996839
Breast_MRI_015,-156.13025935959962,190.20901539446575,-82.89559116395984,158.9794010760054,-66.25976065227,89.14024237224
Breast_MRI_016,-155.90519999999998,146.26030000000003,-114.0431,86.51510000000002,-72.439,90.561
Breast_MRI_017,-178.74394145808492,172.41676171413994,-101.82051625301418,140.05447598596214,-35.199757874012,139.80024212599
Breast_MRI_018,-126.49061908603981,115.92009832260446,-81.43538204260835,116.10926327672631,-112.216707021,85.7832929790019
Breast_MRI_019,-172.51503278721165,145.172467241772,-64.4390163083896,76.87348362645162,-74.642922401428,98.05707759857198
Breast_MRI_020,-169.5229,147.25280000000004,-96.95819999999998,82.34880000000004,-106.707,66.2927
Breast_MRI_021,-178.35899999999998,174.186,-109.25579999999997,95.59140000000002,-88.3431,86.6569
Breast_MRI_022,-157.12923553431375,142.66986818087886,-110.62688937560192,74.26150128279795,-117.07978286743003,54.52021713256799
Breast_MRI_023,-181.1589480309844,184.01961995416073,-100.33292778552863,90.7384988888007,-114.87046003342,76.12953996658301
Breast_MRI_024,-177.6968,190.29549999999998,-113.2886,94.53720000000001,-81.2394,133.56
